,subj,sess,trial,time_penalty,gameState,start_time,stop_time,time_bin,time_step,maze_region,head_direc,is_moving,base_in_view,gold_in_view,gold_in_view_ids,dig_performed,dig_success,all_digs,dig_ids,dig_dists
197,U554,ses0,2,0,Delay1,834080,834580,5,3,Base,N,0,1,,,,,,,
198,U554,ses0,2,0,Delay1,834580,835080,6,4,Base,N,0,1,,,,,,,
199,U554,ses0,2,0,Delay1,835080,835580,7,4,Base,N,0,1,,,,,,,
200,U554,ses0,2,0,Delay1,835580,836080,8,5,Base,N,0,1,,,,,,,
201,U554,ses0,2,0,Delay1,836080,836580,9,5,Base,N,0,1,,,,,,,
202,U554,ses0,2,0,Delay1,836580,837080,10,6,Base,N,0,1,,,,,,,
203,U554,ses0,2,0,Delay1,837080,837580,11,6,Base,N,0,1,,,,,,,
204,U554,ses0,2,0,Delay1,837580,838080,12,7,Base,N,0,1,,,,,,,
205,U554,ses0,2,0,Delay1,838080,838580,13,7,Base,N,0,1,,,,,,,
206,U554,ses0,2,0,Delay1,838580,839080,14,8,Base,N,0,1,,,,,,,
207,U554,ses0,2,0,Delay1,839080,839580,15,8,Base,N,0,1,,,,,,,
208,U554,ses0,2,0,Delay1,839580,840080,16,9,Base,N,0,1,,,,,,,
209,U554,ses0,2,0,Delay1,840080,840580,17,9,Base,N,0,1,,,,,,,
210,U554,ses0,2,0,Delay1,840580,841080,18,10,Base,N,0,1,,,,,,,
211,U554,ses0,2,0,Delay1,841080,841580,19,10,Base,N,0,1,,,,,,,
212,U554,ses0,2,0,Encoding,841597,842097,0,1,Base,N,0,1,0.0,,,,,,
213,U554,ses0,2,0,Encoding,842097,842597,1,1,Base,N,0,1,0.0,,,,,,
214,U554,ses0,2,0,Encoding,842597,843097,2,1,Base,N,0,1,0.0,,,,,,
215,U554,ses0,2,0,Encoding,843097,843597,3,1,Base,N,0,1,0.0,,,,,,
216,U554,ses0,2,0,Encoding,843597,844097,4,1,Base,N,0,1,0.0,,,,,,
217,U554,ses0,2,0,Encoding,844097,844597,5,1,Base,N,1,1,0.0,,,,,,
218,U554,ses0,2,0,Encoding,844597,845097,6,2,Base,N,1,1,0.0,,,,,,
219,U554,ses0,2,0,Encoding,845097,845597,7,2,Base,N,1,1,0.0,,,,,,
220,U554,ses0,2,0,Encoding,845597,846097,8,2,Base,N,1,0,0.0,,,,,,
221,U554,ses0,2,0,Encoding,846097,846597,9,2,S Passage,N,1,0,0.0,,,,,,
222,U554,ses0,2,0,Encoding,846597,847097,10,2,S Passage,N,1,0,0.0,,,,,,
223,U554,ses0,2,0,Encoding,847097,847597,11,2,S Passage,NE,1,0,0.0,,,,,,
224,U554,ses0,2,0,Encoding,847597,848097,12,3,C Hall,NE,1,0,0.0,,,,,,
225,U554,ses0,2,0,Encoding,848097,848597,13,3,C Hall,E,1,0,0.0,,,,,,
226,U554,ses0,2,0,Encoding,848597,849097,14,3,C Hall,E,1,0,1.0,"['diamondRound0007', 'emeraldRectangle0005']",,,,,
227,U554,ses0,2,0,Encoding,849097,849597,15,3,C Hall,E,1,0,1.0,['diamondRound0007'],,,,,
228,U554,ses0,2,0,Encoding,849597,850097,16,3,C Hall,SE,1,0,1.0,"['diamondRound0007', 'emeraldRectangle0005']",,,,,
229,U554,ses0,2,0,Encoding,850097,850597,17,3,C Hall,SE,1,0,1.0,"['diamondRound0007', 'goldDeposit0004']",,,,,
230,U554,ses0,2,0,Encoding,850597,851097,18,4,C Hall,SE,1,0,1.0,"['diamondRound0007', 'emeraldRectangle0005', 'goldDeposit0004']",,,,,
231,U554,ses0,2,0,Encoding,851097,851597,19,4,SE Room,SE,1,0,1.0,"['diamondRound0007', 'goldDeposit0004']",,,,,
232,U554,ses0,2,0,Encoding,851597,852097,20,4,SE Room,SE,1,0,1.0,"['diamondRound0007', 'emeraldRectangle0005', 'goldDeposit0004']",,,,,
233,U554,ses0,2,0,Encoding,852097,852597,21,4,SE Room,SE,1,0,1.0,"['diamondRound0007', 'goldDeposit0004']",,,,,
234,U554,ses0,2,0,Encoding,852597,853097,22,4,SE Room,SE,0,0,1.0,"['diamondRound0007', 'emeraldRectangle0005', 'goldDeposit0004']",,,,,
